age	area	condition	path
P1	cortex	WT	/home/rstudio/data/all/GSM4635080_P1_S1_filtered_gene_bc_matrices_h5.h5
P1	cortex	Fezf2KO	/home/rstudio/data/all/GSM4635087_Fezf2KO_P1_filtered_feature_bc_matrix.h5
